2026-06-22 13:46:15,170 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 13:46:15,170'
2026-06-22 13:46:15,170 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 13:46:15,170'
2026-06-22 13:46:15,170 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 13:46:15,170'
2026-06-22 13:46:15,186 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 13:46:15,186'
2026-06-22 13:46:15,186 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 13:46:15,186'
2026-06-22 13:46:15,186 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 13:46:15,186'
2026-06-22 13:51:04,507 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 13:51:04,507'
2026-06-22 13:51:04,507 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 13:51:04,507'
2026-06-22 13:51:04,507 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 13:51:04,507'
2026-06-22 13:51:04,522 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 13:51:04,522'
2026-06-22 13:51:04,522 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 13:51:04,522'
2026-06-22 13:51:04,522 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 13:51:04,522'
2026-06-22 13:53:48,088 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 13:53:48,088'
2026-06-22 13:53:48,088 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 13:53:48,088'
2026-06-22 13:53:48,088 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 13:53:48,088'
2026-06-22 13:53:48,088 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 13:53:48,088'
2026-06-22 13:53:48,088 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 13:53:48,088'
2026-06-22 13:53:48,088 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 13:53:48,088'
2026-06-22 13:56:31,459 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 13:56:31,459'
2026-06-22 13:56:31,459 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 13:56:31,459'
2026-06-22 13:56:31,475 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 13:56:31,475'
2026-06-22 13:56:31,475 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 13:56:31,475'
2026-06-22 13:56:31,475 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 13:56:31,475'
2026-06-22 13:56:31,475 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 13:56:31,475'
2026-06-22 13:56:39,288 - DEBUG - 'SecurityMiddleware' internal package registered!| extra=asctime='2026-06-22 13:56:39,288'
2026-06-22 13:56:39,288 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-06-22 13:56:39,288'
2026-06-22 13:56:39,288 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 13:56:39,288'
